study_hours,sleep_hours,exercise,screen_time,consistency,procrastination,goal_clarity,target
6.85,6.27,1,2.22,6,4,8,High
2.95,6.53,0,2.68,8,1,8,High
2.24,5.71,1,7.87,5,8,7,Negative
7.6,8.72,1,0.9,7,6,9,High
5.82,6.27,1,5.18,7,5,6,High
6.16,9.98,1,3.14,6,2,7,High
7.23,7.72,1,2.24,7,5,7,High
3.72,6.89,1,6.68,8,4,8,High
2.55,6.69,1,7.27,7,4,8,High
9.78,7.52,1,1.69,9,2,8,High
1.57,10.0,1,5.61,2,5,5,Negative
9.09,7.22,1,1.71,7,3,10,High
5.86,5.12,0,5.59,7,5,8,High
6.21,6.6,0,1.97,7,6,6,High
7.87,6.45,0,6.59,10,1,8,High
5.2,6.19,1,1.95,9,3,8,High
6.74,5.2,1,5.64,5,6,8,High
4.54,7.22,0,5.76,6,5,10,High
7.71,6.65,0,8.19,6,7,3,Average
7.48,6.79,1,6.36,5,3,5,High
2.78,6.59,1,9.89,4,5,5,Negative
2.46,5.39,1,5.0,4,3,4,Average
6.54,5.85,0,3.84,5,3,7,High
7.41,7.54,1,2.86,10,2,8,High
3.03,7.23,0,3.48,8,3,7,High
3.94,6.51,1,4.68,6,5,8,High
5.14,8.13,1,3.67,10,3,10,High
1.98,6.85,0,4.95,4,6,3,Negative
4.11,7.07,1,2.18,8,3,8,High
2.65,5.62,0,8.23,3,6,4,Negative
2.92,6.56,0,7.67,2,6,4,Negative
2.27,5.93,1,2.54,4,7,3,Negative
6.78,5.66,1,10.19,2,7,6,Average
3.28,5.27,0,4.13,4,6,4,Negative
0.58,6.6,0,8.34,4,8,4,Negative
6.79,7.2,1,6.05,5,5,8,High
6.79,6.35,1,2.35,8,4,9,High
3.65,7.54,0,3.98,3,4,6,Average
3.39,8.76,0,5.35,5,3,10,High
3.71,5.44,1,2.82,4,6,6,Average
4.15,6.79,1,4.91,5,4,7,High
7.41,7.07,0,2.08,8,1,8,High
6.13,6.26,0,5.07,5,5,6,Average
2.41,5.14,0,7.65,4,4,4,Negative
7.89,5.02,0,4.53,5,7,7,Average
6.58,7.48,1,2.31,9,3,9,High
6.12,6.41,0,9.19,5,3,7,High
5.64,7.3,1,3.93,6,4,7,High
6.23,8.7,1,6.06,9,3,8,High
3.68,6.32,1,7.6,7,3,8,High
6.13,8.01,0,6.22,7,4,9,High
3.84,8.1,0,6.87,5,10,4,Negative
4.41,6.7,0,5.5,4,5,3,Average
4.66,6.75,1,10.23,4,6,7,Average
6.37,5.82,1,7.0,4,4,6,Average
5.89,7.76,1,5.0,6,2,7,High
7.09,7.96,1,6.29,9,2,6,High
4.44,8.14,1,7.53,6,5,6,Average
3.35,7.76,1,2.79,6,3,7,High
7.3,7.22,1,4.29,7,1,8,High
2.35,7.04,0,7.46,6,6,8,Average
7.99,8.94,1,4.39,10,3,9,High
4.7,7.83,0,6.45,6,4,4,Average
2.84,5.65,0,5.2,5,6,3,Negative
8.47,5.46,0,7.33,6,3,7,High
2.34,4.41,0,5.53,6,7,5,Negative
7.19,5.41,0,4.28,7,5,8,High
2.01,3.64,1,6.26,4,3,7,Average
2.92,4.27,0,5.07,3,5,7,Average
6.14,6.96,0,7.55,6,10,7,Average
7.5,6.88,1,8.03,1,7,4,Average
8.64,7.39,1,4.8,8,1,9,High
2.4,4.65,1,3.66,7,8,6,Average
4.76,6.27,0,6.15,7,4,6,High
3.33,7.44,1,9.49,5,7,3,Negative
7.06,7.43,0,5.21,6,8,3,Average
3.75,4.54,0,4.89,2,3,3,Negative
3.1,7.77,1,2.7,5,6,7,Average
6.31,7.43,1,3.13,9,5,10,High
4.09,4.63,0,4.02,5,10,7,Negative
3.06,6.34,0,5.24,5,5,3,Average
0.61,5.9,0,7.09,3,6,7,Negative
4.54,10.0,1,4.96,7,3,7,High
5.03,6.24,1,5.79,4,6,6,Average
3.53,5.98,1,3.38,7,4,8,High
0.73,6.92,0,9.93,3,8,6,Negative
7.41,7.19,1,0.85,9,1,10,High
4.75,6.53,0,9.7,5,6,2,Negative
5.51,5.8,1,6.12,5,3,6,High
2.5,9.38,1,6.37,8,1,8,High
6.98,5.69,0,4.56,6,2,7,High
1.98,8.72,1,4.95,5,4,8,Average
6.22,7.68,0,5.68,6,4,8,High
4.84,5.06,0,4.64,8,2,7,High
3.77,6.37,1,2.81,7,3,7,High
7.26,7.54,0,5.38,8,7,8,High
6.69,7.46,1,1.65,9,4,8,High
5.13,7.08,1,7.88,8,6,6,High
6.99,8.68,0,6.36,6,3,6,High
7.68,5.82,1,2.49,10,4,8,High
8.39,7.67,0,5.4,6,4,4,High
1.28,5.73,1,7.07,4,6,7,Average
6.32,7.47,0,3.62,8,2,7,High
8.36,8.74,1,5.88,6,9,9,High
3.99,7.51,0,4.91,7,2,5,High
4.42,6.56,0,4.31,7,1,10,High
5.95,7.63,0,5.27,3,7,5,Average
2.65,7.59,0,12.0,3,7,7,Negative
0.42,4.26,0,10.36,4,8,4,Negative
4.11,6.6,0,8.57,3,6,7,Average
6.37,6.22,0,9.49,5,5,3,Average
5.71,8.2,1,6.16,6,1,10,High
6.69,7.12,0,7.2,4,7,10,High
5.7,5.61,0,5.37,6,6,8,High
8.24,6.99,0,8.81,6,5,7,High
6.35,5.79,0,7.22,6,6,3,Average
4.13,8.29,1,2.68,6,6,6,High
8.07,10.0,0,9.9,2,5,6,Average
2.96,7.64,0,7.66,8,4,5,Average
6.74,7.47,0,4.37,8,5,7,High
3.85,5.25,0,4.4,6,3,9,High
6.13,7.45,0,5.24,8,7,7,High
6.24,6.48,0,6.22,5,6,6,Average
5.34,6.73,1,6.48,5,9,7,Average
5.46,6.22,1,7.96,5,7,7,Average
4.88,5.39,1,4.36,5,5,5,Average
7.17,4.79,0,8.35,3,5,7,Average
6.33,6.8,1,4.75,7,5,6,High
5.15,5.75,1,6.19,8,1,10,High
6.18,6.23,1,3.51,7,2,8,High
6.36,7.24,1,3.97,10,3,9,High
7.22,8.97,1,7.05,6,1,6,High
6.64,5.32,0,3.9,8,5,8,High
7.65,6.38,1,5.27,4,5,6,High
0.0,6.85,0,6.13,3,8,3,Negative
4.67,8.28,0,4.71,6,8,5,Average
5.85,7.09,0,6.95,6,7,6,Average
7.22,8.26,1,2.54,8,1,9,High
6.47,6.49,1,4.05,7,3,5,High
4.76,5.21,1,6.02,8,8,6,Average
6.76,7.72,0,10.99,2,2,5,Average
7.97,6.62,1,4.66,6,3,8,High
6.72,4.78,0,4.58,6,7,4,Average
3.76,6.22,1,5.49,4,7,5,Average
5.4,6.72,1,2.22,8,1,9,High
3.75,5.97,0,10.47,7,7,3,Negative
3.0,7.53,0,4.12,6,4,7,High
5.63,6.52,0,8.17,4,3,4,Average
4.09,6.6,1,4.12,5,4,7,High
4.56,5.2,1,2.96,6,3,6,High
6.23,8.37,1,2.38,6,7,7,High
9.25,7.49,1,5.57,4,4,9,High
5.69,7.63,1,5.39,7,1,8,High
6.69,7.26,1,4.5,7,1,4,High
0.45,5.83,0,7.53,5,6,5,Negative
5.41,6.97,1,6.43,5,4,5,High
5.14,7.17,0,0.52,6,4,6,High
6.82,6.78,0,5.09,7,4,7,High
6.62,6.68,1,1.77,7,3,8,High
5.69,6.29,1,3.35,9,3,10,High
3.2,8.19,0,6.87,5,7,6,Average
6.1,6.14,0,6.73,3,5,7,Average
7.16,7.72,1,2.74,8,3,10,High
8.7,4.89,1,8.05,3,4,5,Average
5.94,7.39,0,9.41,5,6,9,Average
5.3,4.64,0,6.47,7,4,7,High
8.34,6.59,0,7.52,5,6,7,High
6.57,7.19,1,4.83,7,2,8,High
5.52,6.69,1,4.01,10,3,8,High
5.68,6.91,0,3.83,2,5,5,Average
6.96,8.0,1,7.21,5,6,4,Average
7.43,7.78,1,4.34,7,3,5,High
6.51,9.68,1,1.57,6,1,8,High
4.67,6.02,0,7.31,7,6,6,Average
5.02,7.04,0,3.83,8,5,5,High
4.12,6.13,0,7.86,8,7,6,Average
5.07,6.4,0,6.97,7,5,7,High
8.52,7.86,1,3.97,8,1,9,High
8.58,6.47,0,0.89,8,1,7,High
8.84,7.25,1,4.7,9,4,8,High
7.44,6.33,0,5.2,5,4,3,Average
4.45,4.25,0,10.83,3,5,5,Negative
7.15,6.99,1,1.6,8,4,10,High
7.6,8.81,0,5.75,8,6,7,High
7.18,7.54,1,3.49,7,1,10,High
8.07,7.11,1,3.56,8,3,10,High
6.22,6.67,0,5.42,8,3,8,High
6.97,7.4,1,5.16,6,3,8,High
6.41,6.4,1,2.01,8,4,10,High
5.3,4.92,0,6.45,6,6,6,Average
6.58,6.87,1,3.44,10,4,9,High
7.63,7.19,1,2.61,7,1,10,High
2.7,4.92,0,8.24,6,5,2,Negative
7.3,5.44,1,4.87,4,8,7,Average
7.25,8.06,1,3.26,9,1,7,High
7.11,5.09,0,5.62,7,8,4,Average
7.96,8.19,1,5.26,6,5,8,High
6.14,7.91,1,1.32,10,3,8,High
6.4,6.95,1,4.67,9,1,8,High
5.72,7.41,1,1.66,8,4,9,High
4.45,5.82,1,6.82,5,7,4,Average
5.36,7.72,1,6.5,3,6,7,Average
4.1,4.9,0,6.52,8,7,5,Average
6.56,4.5,0,7.58,4,4,3,Average
6.38,7.37,0,6.57,6,8,5,Average
7.19,7.84,1,4.52,6,1,3,High
6.55,6.68,0,5.73,6,2,9,High
4.67,7.76,0,6.07,5,6,7,Average
5.83,7.26,1,3.45,7,4,10,High
5.06,6.82,0,7.42,6,8,5,Average
4.33,4.92,1,4.95,6,7,5,Average
5.96,5.71,0,7.7,6,7,7,Average
4.44,7.38,1,6.74,7,6,6,High
5.17,6.4,1,4.84,6,5,8,High
7.59,6.17,1,10.26,4,5,8,High
5.99,7.29,1,5.05,5,5,8,High
2.19,8.96,0,3.69,3,6,5,Negative
8.47,7.67,1,2.4,8,3,8,High
3.14,4.56,0,5.99,7,5,7,Average
2.41,7.8,1,8.8,5,6,9,Average
4.37,4.15,0,6.02,4,6,5,Negative
4.04,7.22,1,5.36,7,3,6,High
8.81,8.17,1,1.59,9,1,8,High
4.06,7.0,1,5.16,5,5,6,Average
7.67,6.25,1,3.64,5,4,2,High
0.1,4.31,1,7.76,2,7,6,Negative
4.4,8.18,0,5.45,3,7,7,Average
4.67,6.38,0,5.97,4,5,6,Average
8.53,6.74,1,4.12,10,3,8,High
7.21,8.37,1,2.49,6,1,8,High
3.27,6.83,1,6.01,5,7,7,Average
7.38,8.63,1,1.18,9,1,7,High
3.99,6.23,1,9.22,3,7,5,Negative
7.42,8.47,0,6.63,8,3,8,High
7.59,7.71,1,4.09,8,1,9,High
4.54,6.49,1,3.36,9,2,7,High
3.74,6.62,0,7.75,6,5,6,Average
4.88,5.02,0,8.85,6,9,6,Negative
5.17,6.89,0,5.26,5,6,6,Average
9.29,4.77,0,3.76,4,4,4,High
5.63,6.77,1,3.99,8,4,8,High
6.77,8.18,1,4.38,9,2,10,High
1.48,6.1,1,6.02,5,9,5,Negative
6.06,6.51,0,4.6,8,1,6,High
8.26,5.94,0,7.57,8,6,4,High
7.16,6.88,1,3.98,6,4,6,High
3.27,4.81,1,4.57,4,4,6,Average
2.66,5.4,0,6.58,6,6,6,Average
2.76,5.4,1,7.5,1,3,3,Negative
5.37,6.8,1,2.11,5,6,8,High
5.33,4.71,0,5.56,7,5,5,Average
3.15,6.54,1,11.32,4,7,9,Average
6.81,8.06,1,4.78,6,6,4,High
2.98,5.74,0,10.77,5,7,6,Negative
2.14,6.36,1,8.02,3,7,5,Negative
8.22,7.44,0,7.0,5,4,6,High
7.14,5.71,0,3.82,6,6,7,High
4.29,7.58,1,9.14,3,5,5,Average
10.0,8.14,1,2.14,8,4,10,High
6.81,8.07,1,3.97,8,3,7,High
4.44,9.11,0,9.75,7,2,5,Average
5.84,8.87,1,6.33,5,2,3,High
9.07,6.98,0,4.11,7,7,6,High
8.4,5.97,0,7.44,8,4,4,High
6.09,5.54,0,3.86,8,6,9,High
5.42,8.1,1,5.39,4,5,4,Average
6.42,7.54,1,5.69,8,2,10,High
4.63,8.19,1,7.14,8,6,4,Average
6.55,7.45,0,5.53,7,2,8,High
6.9,6.57,1,4.75,9,2,10,High
6.51,8.1,1,3.22,7,2,8,High
4.17,7.86,1,3.86,6,2,7,High
8.95,5.86,0,6.58,5,4,9,High
2.64,3.28,1,6.2,6,6,5,Average
6.77,8.16,0,3.57,7,2,10,High
5.76,6.3,1,4.99,6,1,8,High
1.73,5.01,1,8.19,4,6,6,Negative
5.24,5.38,0,7.76,8,8,6,Average
4.95,7.63,1,8.56,4,7,4,Average
3.68,9.06,1,11.29,8,7,4,Average
4.99,7.08,0,6.34,7,3,6,High
5.26,6.42,0,9.86,8,1,4,High
8.99,5.29,0,7.63,4,2,5,High
8.54,5.61,1,4.19,5,4,8,High
5.02,7.05,1,5.86,5,3,4,High
6.94,4.68,1,8.97,5,3,3,Average
6.57,8.82,1,2.7,8,3,8,High
